EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL298,3,23 St - 6 Line(s),99.33 %,100.00 %,100.00 %,1,1,0,0
EL299,3,23 St - 6 Line(s),97.77 %,97.08 %,100.00 %,3,1,2,1
EL300X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.44 %,99.17 %,100.00 %,,,,
EL301,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL302,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.39 %,100.00 %,96.92 %,4,0,4,0
EL303,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL304,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.78 %,98.65 %,100.00 %,1,0,1,1
EL305,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.52 %,100.00 %,99.17 %,1,0,1,0
EL306,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),97.35 %,98.33 %,99.03 %,4,1,3,0
EL307,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),95.10 %,96.60 %,94.85 %,6,1,5,0
EL314,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL315,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),99.28 %,100.00 %,100.00 %,1,1,0,0
EL316,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),99.21 %,100.00 %,100.00 %,2,1,1,0
EL317,24,Borough Hall / Court St - 2/3/4/5/R Line(s),98.56 %,100.00 %,100.00 %,2,1,1,1
EL318,24,Borough Hall / Court St - 2/3/4/5/R Line(s),99.17 %,100.00 %,100.00 %,1,1,0,0
EL319,22,Flatbush Av Brooklyn College - 2/5 Line(s),98.64 %,100.00 %,100.00 %,3,2,1,0
EL320,21,Church Av - 2/5 Line(s),98.21 %,97.92 %,99.69 %,4,2,2,0
EL321,21,Church Av - 2/5 Line(s),97.88 %,94.60 %,100.00 %,3,1,2,0
EL322,15,Crown Hts - Utica Av - 3/4 Line(s),99.76 %,100.00 %,99.38 %,1,0,1,0
EL323,15,Crown Hts - Utica Av - 3/4 Line(s),99.28 %,100.00 %,98.78 %,3,0,3,0
EL324,18,Canal St - J/Z/N/Q/R/W/6 Line(s),99.25 %,100.00 %,100.00 %,1,1,0,0
EL325,18,Canal St - J/Z/N/Q/R/W/6 Line(s),87.02 %,89.55 %,87.50 %,7,1,6,1
